# timestamps [seconds],pts
-453429.216222,1207194
-453429.192617,1208741
-453429.149778,1211549
-453429.125974,1213108
-453429.082219,1215976
-453429.059217,1217483
-453429.014486,1220415
-453428.986303,1222262
-453428.948720,1224725
-453428.930166,1225941
-453428.885205,1228887
-453428.869024,1229948
-453428.835538,1232142
-453428.785367,1235430
-453428.754194,1237473
-453428.738141,1238525
-453428.698751,1241107
-453428.665258,1243302
-453428.609929,1246927
-453428.583783,1248641
-453428.518499,1252919
-453428.493047,1254587
-453428.454969,1257083
-453428.431569,1258616
-453428.403974,1260425
-453428.366719,1262866
-453428.342420,1264459
-453428.319295,1265974
-453428.293042,1267695
-453428.244405,1270882
-453428.210202,1273124
-453428.143079,1277523
-453428.109845,1279700
-453428.076169,1281907
-453428.010129,1286235
-453427.974805,1288550
-453427.908963,1292865
-453427.874753,1295107
-453427.840825,1297331
-453427.807752,1299498
-453427.774862,1301654
-453427.740957,1303876
-453427.707105,1306094
-453427.674031,1308262
-453427.640493,1310460
-453427.606557,1312683
-453427.572759,1314898
-453427.539792,1317059
-453427.511930,1318885
-453427.492536,1320156
-453427.449704,1322963
-453427.426267,1324499
-453427.383687,1327289
-453427.359464,1328877
-453427.317189,1331647
-453427.294355,1333144
-453427.250509,1336017
-453427.224988,1337690
-453427.181081,1340567
-453427.158773,1342029
-453427.115628,1344856
-453427.091001,1346470
-453427.049543,1349187
-453427.023618,1350886
-453426.981603,1353640
-453426.958280,1355168
-453426.914960,1358007
-453426.891500,1359545
-453426.847287,1362442
-453426.822927,1364039
-453426.780515,1366818
-453426.756620,1368384
-453426.710942,1371378
-453426.689145,1372806
-453426.647214,1375554
-453426.621106,1377265
-453426.579984,1379960
-453426.555784,1381546
-453426.510244,1384530
-453426.490041,1385854
-453426.445722,1388759
-453426.420148,1390435
-453426.378385,1393172
-453426.352857,1394845
-453426.304273,1398029
-453426.283635,1399381
-453426.259061,1400992
-453426.214246,1403929
-453426.194593,1405217
-453426.138585,1408887
-453426.116925,1410306
-453426.080732,1412678
-453426.034330,1415719
-453426.010579,1417276
-453425.978948,1419349
-453425.939183,1421955
-453425.920064,1423208
-453425.898870,1424597
-453425.847821,1427942
-453425.821714,1429653
-453425.781591,1432283
-453425.761274,1433614
-453425.708249,1437089
-453425.684224,1438664
-453425.663633,1440013
-453425.619184,1442926
-453425.595670,1444467
-453425.550985,1447395
-453425.527555,1448931
-453425.484914,1451725
-453425.460218,1453344
-453425.417394,1456150
-453425.393857,1457693
-453425.350026,1460565
-453425.327977,1462010
-453425.284642,1464850
-453425.259641,1466489
-453425.217550,1469247
-453425.197156,1470584
-453425.160215,1473005
-453425.116788,1475850
-453425.099584,1476978
-453425.068822,1478994
-453425.035337,1481188
-453424.988767,1484240
-453424.968877,1485544
-453424.932370,1487936
-453424.887876,1490852
-453424.869321,1492068
-453424.837156,1494176
-453424.806928,1496157
-453424.754438,1499597
-453424.713849,1502257
-453424.691182,1503743
-453424.647596,1506599
-453424.624662,1508102
-453424.580083,1511023
-453424.557355,1512513
-453424.512624,1515444
-453424.489675,1516948
-453424.446637,1519769
-453424.422979,1521319
-453424.376065,1524394
-453424.354520,1525806
-453424.332921,1527221
-453424.289815,1530046
-453424.245702,1532937
-453424.229741,1533983
-453424.198354,1536040
-453424.155347,1538859
-453424.135267,1540174
-453424.098684,1542572
-453424.065778,1544728
-453424.021878,1547605
-453424.002973,1548844
-453423.967763,1551152
-453423.918325,1554392
-453423.895963,1555857
-453423.857816,1558357
-453423.836828,1559733
-453423.786977,1563000
-453423.742482,1565916
-453423.719068,1567450
-453423.688932,1569425
-453423.651662,1571868
-453423.629865,1573296
-453423.586492,1576138
-453423.557683,1578026
-453423.519239,1580546
-453423.495549,1582098
-453423.451810,1584965
-453423.424474,1586756
-453423.385564,1589306
-453423.362561,1590814
-453423.318250,1593718
-453423.292279,1595420
-453423.256665,1597754
-453423.237401,1599016
-453423.193975,1601862
-453423.177549,1602939
-453423.134160,1605782
-453423.102971,1607826
-453423.061010,1610576
-453423.026052,1612867
-453423.010411,1613892
-453422.950109,1617844
-453422.934789,1618848
-453422.897084,1621319
-453422.863591,1623514
-453422.817060,1626563
-453422.797788,1627826
-453422.754995,1630631
-453422.729047,1632331
-453422.685300,1635198
-453422.668935,1636271
-453422.625814,1639096
-453422.580579,1642061
-453422.557477,1643575
-453422.514211,1646410
-453422.490644,1647955
-453422.445966,1650883
-453422.423536,1652353
-453422.379407,1655245
-453422.354726,1656862
-453422.308896,1659866
-453422.288625,1661194
-453422.267240,1662596
-453422.222608,1665521
-453422.185254,1667969
-453422.166364,1669207
-453422.133397,1671367
-453422.094815,1673895
-453422.075757,1675144
-453422.043599,1677252
-453421.999799,1680122
-453421.955762,1683008
-453421.936239,1684288
-453421.899541,1686693
-453421.855245,1689596
-453421.836049,1690854
-453421.799642,1693240
-453421.762738,1695658
-453421.714750,1698803
-453421.690473,1700394
-453421.649785,1703061
-453421.629354,1704399
-453421.586843,1707185
-453421.563352,1708725
-453421.520108,1711559
-453421.495626,1713163
-453421.451596,1716049
-453421.428823,1717541
-453421.385045,1720410
-453421.355657,1722336
-453421.318341,1724782
-453421.295057,1726308
-453421.251523,1729161
-453421.225988,1730834
-453421.193708,1732950
-453421.176130,1734102
-453421.137471,1736635
-453421.105916,1738703
-453421.073308,1740840
-453421.038984,1743089
-453420.993940,1746041
-453420.953565,1748687
-453420.932187,1750088
-453420.890805,1752800
-453420.861364,1754730
-453420.817426,1757609
-453420.796537,1758978
-453420.740850,1762628
-453420.719419,1764032
-453420.695668,1765589
-453420.659261,1767975
-453420.611753,1771088
-453420.589788,1772527
-453420.547460,1775301
-453420.522603,1776930
-453420.474477,1780084
-453420.453901,1781433
-453420.433362,1782779
-453420.391309,1785535
-453420.368207,1787049
-453420.325101,1789874
-453420.279203,1792882
-453420.254331,1794512
-453420.213147,1797211
-453420.188421,1798831
-453420.146482,1801580
-453420.121946,1803187
-453420.089307,1805326
-453420.073728,1806347
-453420.043119,1808353
-453420.000257,1811162
-453419.966848,1813352
-453419.934575,1815467
-453419.894460,1818096
-453419.862142,1820214
-453419.831289,1822236
-453419.800016,1824285
-453419.763257,1826694
-453419.745893,1827832
-453419.677846,1832292
-453419.651708,1834005
-453419.611074,1836667
-453419.588048,1838176
-453419.542905,1841135
-453419.510427,1843263
-453419.489606,1844628
-453419.448926,1847294
-453419.428983,1848601
-453419.384214,1851535
-453419.364408,1852833
-453419.320646,1855701
-453419.298063,1857181
-453419.254529,1860034
-453419.231176,1861564
-453419.197454,1863774
-453419.180753,1864869
-453419.129895,1868201
-453419.114087,1869237
-453419.074201,1871851
-453419.037267,1874272
-453419.008695,1876144
-453418.980741,1877976
-453418.938741,1880729
-453418.903997,1883006
-453418.877828,1884721
-453418.829129,1887912
-453418.784894,1890811
-453418.759908,1892449
-453418.718045,1895192
-453418.695096,1896696
-453418.651105,1899579
-453418.628118,1901085
-453418.584653,1903934
-453418.561345,1905461
-453418.516607,1908393
-453418.493963,1909877
-453418.449918,1912764
-453418.427701,1914220
-453418.383107,1917142
-453418.359617,1918682
-453418.323369,1921057
-453418.308210,1922051
-453418.267461,1924721
-453418.238439,1926623
-453418.211171,1928410
-453418.169721,1931127
-453418.132520,1933564
-453418.104093,1935427
-453418.075902,1937275
-453418.041814,1939509
-453418.012349,1941440
-453417.973874,1943961
-453417.935933,1946448
